,country,points,price,province,taster_name,variety,winery
84437,US,87,12.0,Washington,Paul Gregutt,Pinot Gris,Maryhill
84506,US,91,19.0,Oregon,Paul Gregutt,Pinot Gris,Adelsheim
85192,US,90,16.0,Oregon,Paul Gregutt,Pinot Gris,Sweet Cheeks
85436,US,90,15.0,Washington,Paul Gregutt,Pinot Gris,Cuvée Lucia
85658,US,88,16.0,Oregon,Paul Gregutt,Pinot Gris,Melrose
86430,US,85,12.0,Washington,Paul Gregutt,Pinot Gris,Columbia Crest
86542,US,85,12.0,Oregon,Paul Gregutt,Pinot Gris,Dundee Springs
86856,US,84,16.0,Oregon,Paul Gregutt,Pinot Gris,Del Rio
86857,US,84,24.0,California,Virginie Boone,Pinot Gris,Merisi
87120,US,82,20.0,Washington,Sean P. Sullivan,Pinot Gris,Maragas
87272,US,92,18.0,California,Virginie Boone,Pinot Gris,Hendry
87289,US,92,19.0,Oregon,Paul Gregutt,Pinot Gris,The Eyrie Vineyards
87290,US,92,21.0,Oregon,Paul Gregutt,Pinot Gris,WillaKenzie Estate
87348,US,91,25.0,Washington,Paul Gregutt,Pinot Gris,Cerulean
87497,US,87,15.0,Washington,Paul Gregutt,Pinot Gris,Mercer
87530,US,92,22.0,Oregon,Paul Gregutt,Pinot Gris,The Eyrie Vineyards
87669,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,Lazy River
87821,US,88,15.0,Washington,Paul Gregutt,Pinot Gris,Northwest Cellars
88275,US,88,16.0,Oregon,Paul Gregutt,Pinot Gris,Coelho
88276,US,88,17.0,Oregon,Paul Gregutt,Pinot Gris,Coeur de Terre
88490,US,89,22.0,Oregon,Paul Gregutt,Pinot Gris,Goodfellow
88519,US,84,16.0,Oregon,Paul Gregutt,Pinot Gris,Tyee Wine Cellars
88815,US,88,25.0,California,Matt Kettmann,Pinot Gris,Beauregard
88821,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,Seven Sails
88849,US,83,17.0,New York,Susan Kostrzewa,Pinot Gris,Dr. Konstantin Frank
89035,US,90,25.0,Oregon,Paul Gregutt,Pinot Gris,Aubichon Cellars
89045,US,90,20.0,Oregon,Paul Gregutt,Pinot Gris,Chehalem
89563,US,90,15.0,Oregon,Paul Gregutt,Pinot Gris,Redhawk
90058,US,92,48.0,Oregon,Paul Gregutt,Pinot Gris,Archery Summit
90060,US,90,16.0,Oregon,Paul Gregutt,Pinot Gris,Rex Hill
90067,US,90,14.0,Oregon,Paul Gregutt,Pinot Gris,Spindrift Cellars
90308,US,88,14.0,Oregon,Paul Gregutt,Pinot Gris,Rainstorm
90429,US,88,18.0,Oregon,Paul Gregutt,Pinot Gris,Ancient Cellars
90561,US,88,13.0,Oregon,Paul Gregutt,Pinot Gris,Acrobat
91482,US,91,28.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
91580,US,88,19.0,California,Jim Gordon,Pinot Gris,Philo Ridge
91583,US,88,22.0,California,Matt Kettmann,Pinot Gris,Stephen Ross
91762,US,91,18.0,California,Virginie Boone,Pinot Gris,Balletto
91885,US,85,13.0,Washington,Sean P. Sullivan,Pinot Gris,Hyatt
92092,US,91,14.0,Oregon,Paul Gregutt,Pinot Gris,Oak Knoll
92321,US,89,14.0,Oregon,Paul Gregutt,Pinot Gris,Wine by Joe
92465,US,88,14.0,Oregon,Paul Gregutt,Pinot Gris,Erath
92699,US,87,16.0,Oregon,Paul Gregutt,Pinot Gris,Benton-Lane
92776,US,87,15.0,California,Matt Kettmann,Pinot Gris,Hahn
92801,US,87,16.0,California,Virginie Boone,Pinot Gris,McFadden
93085,US,92,28.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
93294,US,86,17.0,Oregon,Paul Gregutt,Pinot Gris,Emerson
93339,US,87,21.0,California,Virginie Boone,Pinot Gris,Philo Ridge
93877,US,88,13.0,Oregon,Paul Gregutt,Pinot Gris,Terrapin Cellars
93971,US,83,16.0,Oregon,Paul Gregutt,Pinot Gris,Tyee Wine Cellars
94110,US,88,17.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
94314,US,85,17.0,Oregon,Paul Gregutt,Pinot Gris,Benton-Lane
94353,US,85,16.0,Washington,Paul Gregutt,Pinot Gris,Goose Ridge
94502,US,89,21.0,California,Virginie Boone,Pinot Gris,Philo Ridge
94713,US,91,23.0,Oregon,Paul Gregutt,Pinot Gris,Lachini
94848,US,91,19.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
94901,US,87,16.0,Oregon,Paul Gregutt,Pinot Gris,Willamette Valley Vineyards
95017,US,89,20.0,Oregon,Paul Gregutt,Pinot Gris,Seven Sails
95112,US,89,17.0,New York,Anna Lee C. Iijima,Pinot Gris,Hazlitt 1852 Vineyards
95165,US,91,18.0,California,Virginie Boone,Pinot Gris,Balletto
95897,US,87,15.0,Oregon,Paul Gregutt,Pinot Gris,Tyee
96039,US,87,19.0,California,Matt Kettmann,Pinot Gris,Alma Rosa
96103,US,87,20.0,Washington,Sean P. Sullivan,Pinot Gris,Vin du Lac
96211,US,85,23.0,Oregon,Paul Gregutt,Pinot Gris,Coelho
96475,US,85,12.0,Oregon,Paul Gregutt,Pinot Gris,Duck Pond
96476,US,85,15.0,Oregon,Paul Gregutt,Pinot Gris,Erath
96743,US,88,18.0,New York,Anna Lee C. Iijima,Pinot Gris,Atwater
96791,US,88,13.0,Oregon,Paul Gregutt,Pinot Gris,Wildewood
97000,US,87,18.0,Oregon,Paul Gregutt,Pinot Gris,WillaKenzie Estate
97055,US,86,15.0,New York,Anna Lee C. Iijima,Pinot Gris,Sheldrake Point
97339,US,88,16.0,Oregon,Paul Gregutt,Pinot Gris,Del Rio
97533,US,87,12.0,Oregon,Paul Gregutt,Pinot Gris,Oak Knoll
98016,US,91,20.0,Oregon,Paul Gregutt,Pinot Gris,Soléna
98196,US,86,15.0,Oregon,Paul Gregutt,Pinot Gris,Château Bianca
98356,US,85,17.0,Oregon,Paul Gregutt,Pinot Gris,Benton-Lane
98854,US,88,21.0,Oregon,Paul Gregutt,Pinot Gris,Cória
99109,US,92,18.0,Oregon,Paul Gregutt,Pinot Gris,Panther Creek
99169,US,90,16.0,Oregon,Paul Gregutt,Pinot Gris,River's Edge
99243,US,88,14.0,Washington,Sean P. Sullivan,Pinot Gris,Gård
99766,US,88,16.0,Oregon,Paul Gregutt,Pinot Gris,Willamette Valley Vineyards
100058,US,87,15.0,Washington,Paul Gregutt,Pinot Gris,Airfield Estates
100075,US,87,20.0,California,Virginie Boone,Pinot Gris,Occasio
100184,US,87,15.0,Washington,Paul Gregutt,Pinot Gris,Seven Hills
100262,US,93,30.0,Oregon,Paul Gregutt,Pinot Gris,Aubichon Cellars
100516,US,88,16.0,California,Jim Gordon,Pinot Gris,McFadden
100757,US,88,18.0,Oregon,Paul Gregutt,Pinot Gris,Vista Hills
100770,US,88,19.0,Oregon,Paul Gregutt,Pinot Gris,Anne Amie
100839,US,85,12.0,Washington,Sean P. Sullivan,Pinot Gris,Skyfall
100918,US,86,16.0,Oregon,Paul Gregutt,Pinot Gris,J. Scott Cellars
101014,US,83,12.0,Idaho,Sean P. Sullivan,Pinot Gris,Sawtooth
101027,US,83,16.0,Idaho,Sean P. Sullivan,Pinot Gris,3 Horse Ranch Vineyards
101055,US,89,20.0,Oregon,Sean P. Sullivan,Pinot Gris,Sineann
101299,US,83,14.0,Oregon,Paul Gregutt,Pinot Gris,Hinman
101382,US,88,16.0,California,Jim Gordon,Pinot Gris,McFadden
101501,US,88,13.0,Washington,Sean P. Sullivan,Pinot Gris,Milbrandt
101576,US,86,18.0,Virginia,Carrie Dykes,Pinot Gris,Casanel
101640,US,89,19.0,California,Matt Kettmann,Pinot Gris,Alma Rosa
101752,US,88,19.0,California,Matt Kettmann,Pinot Gris,Sinor-LaVallee
102122,US,91,19.0,Oregon,Paul Gregutt,Pinot Gris,Elk Cove
102468,US,86,11.0,Washington,Sean P. Sullivan,Pinot Gris,Latah Creek
102678,US,83,19.0,Washington,Sean P. Sullivan,Pinot Gris,Convergence Zone
102692,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Vista Hills
103209,US,86,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Billsboro
103358,US,87,17.0,New York,Anna Lee C. Iijima,Pinot Gris,Anthony Road
103564,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,Panther Creek
103960,US,87,17.0,Oregon,Paul Gregutt,Pinot Gris,Sweet Cheeks
104059,US,92,20.0,Oregon,Paul Gregutt,Pinot Gris,Cristom
104576,US,90,30.0,California,Virginie Boone,Pinot Gris,Keller Estate
104619,US,86,17.0,New York,Anna Lee C. Iijima,Pinot Gris,Ventosa
104935,US,86,14.0,Oregon,Paul Gregutt,Pinot Gris,Wine by Joe
104938,US,86,19.0,Oregon,Paul Gregutt,Pinot Gris,Lemelson
105004,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,Coelho
105015,US,92,12.0,Oregon,Paul Gregutt,Pinot Gris,Lujon
105131,US,87,13.0,Idaho,Sean P. Sullivan,Pinot Gris,Sawtooth
105245,US,90,17.0,Oregon,Paul Gregutt,Pinot Gris,Ponzi
105525,US,92,29.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
105623,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Lange
105769,US,89,13.0,Washington,Paul Gregutt,Pinot Gris,Lone Birch
105837,US,87,20.0,Oregon,Paul Gregutt,Pinot Gris,Coelho
105962,US,88,22.0,Oregon,Paul Gregutt,Pinot Gris,Bell
106054,US,87,15.0,Oregon,Paul Gregutt,Pinot Gris,Siltstone
106234,US,85,16.0,Washington,Sean P. Sullivan,Pinot Gris,Goose Ridge
106299,US,87,16.0,Oregon,Paul Gregutt,Pinot Gris,Del Rio
106312,US,88,14.0,Washington,Sean P. Sullivan,Pinot Gris,Nine Hats
106634,US,87,12.0,Oregon,Paul Gregutt,Pinot Gris,Acrobat
107679,US,90,24.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
107834,US,88,29.0,Oregon,Paul Gregutt,Pinot Gris,Winter's Hill
107904,US,90,14.0,Oregon,Paul Gregutt,Pinot Gris,Acrobat
108057,US,88,14.0,Oregon,Paul Gregutt,Pinot Gris,Erath
108097,US,86,13.0,Washington,Sean P. Sullivan,Pinot Gris,Waterbrook
108349,US,93,22.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
108493,US,88,16.0,Oregon,Paul Gregutt,Pinot Gris,Girardet
108546,US,89,12.0,Oregon,Paul Gregutt,Pinot Gris,Firesteed
109236,US,86,12.0,Washington,Paul Gregutt,Pinot Gris,Nine Hats
109302,US,86,14.0,Oregon,Sean P. Sullivan,Pinot Gris,Foris
109977,US,89,20.0,Oregon,Paul Gregutt,Pinot Gris,WillaKenzie Estate
110152,US,86,16.0,Oregon,Paul Gregutt,Pinot Gris,Winter's Hill
110580,US,86,13.0,Oregon,Paul Gregutt,Pinot Gris,Kings Ridge
110905,US,86,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Hosmer
110938,US,83,13.0,Oregon,Paul Gregutt,Pinot Gris,Belle Vallée
111288,US,86,13.0,Washington,Sean P. Sullivan,Pinot Gris,Waterbrook
111430,US,87,22.0,Oregon,Paul Gregutt,Pinot Gris,Erath
111842,US,91,17.0,Oregon,Paul Gregutt,Pinot Gris,Seven Hills
112225,US,85,15.0,California,Jim Gordon,Pinot Gris,McFadden
112413,US,88,15.0,Oregon,Paul Gregutt,Pinot Gris,Siltstone
112464,US,89,25.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
112672,US,94,42.0,Oregon,Paul Gregutt,Pinot Gris,Archery Summit
113045,US,90,20.0,California,Jim Gordon,Pinot Gris,Navarro
113171,US,87,20.0,Oregon,Paul Gregutt,Pinot Gris,Gersing
113421,US,87,14.0,Oregon,Paul Gregutt,Pinot Gris,Grandmaster
113449,US,90,19.0,Oregon,Paul Gregutt,Pinot Gris,Elk Cove
113508,US,90,48.0,California,Virginie Boone,Pinot Gris,Breathless
113606,US,86,16.0,Oregon,Paul Gregutt,Pinot Gris,Brandborg
113645,US,92,18.0,Washington,Paul Gregutt,Pinot Gris,Tranche
113693,US,90,16.0,Oregon,Paul Gregutt,Pinot Gris,Rex Hill
113742,US,88,18.0,Oregon,Paul Gregutt,Pinot Gris,Vercingetorix VX
114177,US,87,22.0,New York,Anna Lee C. Iijima,Pinot Gris,Brooklyn Oenology
114416,US,88,17.0,Oregon,Paul Gregutt,Pinot Gris,Johan Vineyards
114578,US,86,21.0,Oregon,Paul Gregutt,Pinot Gris,Methven Family Vineyards
114648,US,88,35.0,Oregon,Paul Gregutt,Pinot Gris,Left Coast Cellars
114677,US,87,10.0,Washington,Sean P. Sullivan,Pinot Gris,14 Hands
114885,US,92,48.0,Oregon,Paul Gregutt,Pinot Gris,Archery Summit
115387,US,88,15.0,Oregon,Paul Gregutt,Pinot Gris,Pike Road
115441,US,87,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Sheldrake Point
115469,US,90,16.0,Oregon,Paul Gregutt,Pinot Gris,Willamette Valley Vineyards
115605,US,92,22.0,Oregon,Paul Gregutt,Pinot Gris,Chehalem
115713,US,90,15.0,Washington,Paul Gregutt,Pinot Gris,Cuvée Lucia
115835,US,91,22.0,Oregon,Paul Gregutt,Pinot Gris,Sokol Blosser
115928,US,85,12.0,Oregon,Paul Gregutt,Pinot Gris,River's Edge
116171,US,90,15.0,Washington,Paul Gregutt,Pinot Gris,Mercer
116359,US,85,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Billsboro
116408,US,88,12.0,Oregon,Paul Gregutt,Pinot Gris,Château Bianca
116461,US,86,16.0,Oregon,Paul Gregutt,Pinot Gris,Van Duzer
116538,US,90,17.0,Oregon,Paul Gregutt,Pinot Gris,Carabella
116623,US,92,45.0,Oregon,Paul Gregutt,Pinot Gris,Francis Tannahill
116753,US,86,18.0,Oregon,Paul Gregutt,Pinot Gris,Left Coast Cellars
116762,US,86,22.0,California,Matt Kettmann,Pinot Gris,Carr
117326,US,89,12.0,Oregon,Paul Gregutt,Pinot Gris,Lujon
117340,US,89,13.0,Oregon,Paul Gregutt,Pinot Gris,A to Z
117348,US,87,18.0,California,Jim Gordon,Pinot Gris,J Vineyards & Winery
117662,US,87,16.0,California,Virginie Boone,Pinot Gris,McFadden
117743,US,91,24.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
117824,US,86,20.0,California,Matt Kettmann,Pinot Gris,Still Waters
117942,US,84,16.0,New York,Susan Kostrzewa,Pinot Gris,Billsboro
118109,US,88,25.0,Oregon,Paul Gregutt,Pinot Gris,Deer Creek
118231,US,91,19.0,Oregon,Paul Gregutt,Pinot Gris,Trinity Vineyards
118281,US,89,24.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
118742,US,88,14.0,Oregon,Paul Gregutt,Pinot Gris,Rainstorm
118982,US,86,18.0,California,Virginie Boone,Pinot Gris,Fenestra
119328,US,88,23.0,Oregon,Paul Gregutt,Pinot Gris,Maysara
119495,US,86,11.0,Washington,Sean P. Sullivan,Pinot Gris,Waterbrook
119674,US,92,18.0,Oregon,Paul Gregutt,Pinot Gris,Iris Vineyards
119773,US,87,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Hosmer
119789,US,90,25.0,Oregon,Paul Gregutt,Pinot Gris,Aubichon Cellars
119842,US,88,10.0,Washington,Sean P. Sullivan,Pinot Gris,Chateau Ste. Michelle
119898,US,88,13.0,Oregon,Paul Gregutt,Pinot Gris,Firesteed
120073,US,89,16.0,California,Jim Gordon,Pinot Gris,McFadden
120468,US,86,17.0,Oregon,Paul Gregutt,Pinot Gris,Hanson Vineyards
120700,US,89,18.0,Oregon,Paul Gregutt,Pinot Gris,Lumos
120704,US,87,16.0,Washington,Paul Gregutt,Pinot Gris,Boomtown
120720,US,87,24.0,New York,Anna Lee C. Iijima,Pinot Gris,Red Newt Cellars
120829,US,88,19.0,Oregon,Paul Gregutt,Pinot Gris,Grizzly Peak
121460,US,89,25.0,California,Jim Gordon,Pinot Gris,FEL
121645,US,87,16.0,Washington,Paul Gregutt,Pinot Gris,Castillo De Feliciana
121968,US,90,15.0,Oregon,Paul Gregutt,Pinot Gris,Walnut City WineWorks
122051,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Durant
122082,US,92,16.0,Oregon,Paul Gregutt,Pinot Gris,Deer Creek
122100,US,92,24.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
122184,US,88,14.0,Washington,Sean P. Sullivan,Pinot Gris,Gård
122310,US,89,14.0,Washington,Paul Gregutt,Pinot Gris,Alexandria Nicole
122330,US,91,22.0,California,Virginie Boone,Pinot Gris,J Vineyards & Winery
122342,US,91,25.0,Oregon,Paul Gregutt,Pinot Gris,Aubichon Cellars
122371,US,86,20.0,Oregon,Paul Gregutt,Pinot Gris,Vista Hills
122582,US,89,17.0,Oregon,Paul Gregutt,Pinot Gris,Conveyance
122711,US,91,18.0,California,Matt Kettmann,Pinot Gris,Holman Ranch
122848,US,89,20.0,Oregon,Paul Gregutt,Pinot Gris,Raptor Ridge
123885,US,91,29.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
124092,US,83,11.0,Washington,Paul Gregutt,Pinot Gris,Apex II
124095,US,83,15.0,Washington,Paul Gregutt,Pinot Gris,Silver Lake
124142,US,90,17.0,Oregon,Paul Gregutt,Pinot Gris,Carabella
124244,US,88,14.0,Washington,Paul Gregutt,Pinot Gris,Lost River
124377,US,88,13.0,Oregon,Sean P. Sullivan,Pinot Gris,Primarius
124489,US,90,20.0,Oregon,Paul Gregutt,Pinot Gris,Joleté
124641,US,90,30.0,California,Virginie Boone,Pinot Gris,Keller Estate
124711,US,90,20.0,Oregon,Paul Gregutt,Pinot Gris,Lumos
124743,US,84,17.0,California,Jim Gordon,Pinot Gris,J Vineyards & Winery
124819,US,88,15.0,Idaho,Paul Gregutt,Pinot Gris,3 Horse Ranch Vineyards
125057,US,86,19.0,Washington,Paul Gregutt,Pinot Gris,Convergence Zone
125533,US,88,19.0,California,Matt Kettmann,Pinot Gris,Sinor-LaVallee
125772,US,80,18.0,Oregon,Michael Schachner,Pinot Gris,Paschal
126171,US,88,13.0,Washington,Sean P. Sullivan,Pinot Gris,Jones of Washington
126334,US,87,18.0,Idaho,Sean P. Sullivan,Pinot Gris,3 Horse Ranch Vineyards
126491,US,86,12.0,Oregon,Paul Gregutt,Pinot Gris,Abiqua Wind
126522,US,92,18.0,Oregon,Paul Gregutt,Pinot Gris,Arbor Brook
127013,US,93,54.0,Oregon,Paul Gregutt,Pinot Gris,Archery Summit
127239,US,87,14.0,Washington,Sean P. Sullivan,Pinot Gris,Willow Crest
127333,US,88,20.0,California,Virginie Boone,Pinot Gris,MacMurray Estate Vineyards
127632,US,90,19.0,Oregon,Paul Gregutt,Pinot Gris,Coeur de Terre
127700,US,89,16.0,Oregon,Paul Gregutt,Pinot Gris,Sweet Cheeks
127729,US,88,13.0,California,Virginie Boone,Pinot Gris,Cline
127801,US,85,12.0,Oregon,Paul Gregutt,Pinot Gris,Girardet
128667,US,90,15.0,California,Jim Gordon,Pinot Gris,Boeger
128756,US,90,25.0,California,Jim Gordon,Pinot Gris,Lichen Estate
128793,US,91,29.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
128858,US,86,16.0,Oregon,Paul Gregutt,Pinot Gris,Melrose
128869,US,86,13.0,Oregon,Paul Gregutt,Pinot Gris,Kings Ridge
129029,US,88,20.0,California,Jim Gordon,Pinot Gris,Navarro
129059,US,93,21.0,Oregon,Paul Gregutt,Pinot Gris,WillaKenzie Estate
129304,US,90,15.0,Oregon,Paul Gregutt,Pinot Gris,A to Z
129440,US,87,18.0,California,Jim Gordon,Pinot Gris,J Vineyards & Winery
129477,US,88,14.0,Washington-Oregon,Paul Gregutt,Pinot Gris,ENSO
129483,US,88,23.0,Oregon,Paul Gregutt,Pinot Gris,Bell
129713,US,86,11.0,Washington,Sean P. Sullivan,Pinot Gris,Waterbrook
129783,US,89,13.0,Washington,Paul Gregutt,Pinot Gris,Lone Birch
129788,US,89,15.0,New York,Anna Lee C. Iijima,Pinot Gris,Dr. Konstantin Frank
129909,US,91,20.0,California,Matt Kettmann,Pinot Gris,Derby
